鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
西區,房地(土地+建物)+車位,臺中市西區大同街151~180號,21.14,住,,,1080627,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870501,189.41,4,2,2,有,有,12300000,64938,坡道平面,0.0,0,,RPPNMLTKQHOFFAB48CA
南區,房地(土地+建物),臺中市南區學府路135巷1~30號,11.69,住,,,1080703,土地4建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860925,116.82,3,2,2,有,有,5100000,43657,,0.0,0,,RPQNMLPKQHOFFAB18CA
南區,房地(土地+建物),臺中市南區美村路二段31~60號,8.98,住,,,1080624,土地3建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830912,125.94,3,2,2,有,有,6020000,47801,,0.0,0,,RPQOMLPJQHOFFAB18CA
西區,房地(土地+建物)+車位,臺中市西區忠明南路121~150號,22.47,其他,,,1080426,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871030,269.92,4,2,2,有,有,14900000,55374,坡道平面,22.51,1200000,,RPOQMLSJQHOFFAB48CA
北區,房地(土地+建物)+車位,臺中市北區進化北路241~270號,11.66,住,,,1080629,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970122,149.03,4,2,2,有,有,9600000,64417,坡道平面,23.38,0,,RPXTMLPJQHOFFBB86CA
北區,房地(土地+建物)+車位,臺中市北區梅川西路四段211~240號,16.11,住,,,1080713,土地1建物1車位1,五層，六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871106,190.9,4,2,3,有,有,10300000,53955,坡道平面,0.0,1200000,含增建或未登記建物。;,RPQNMLKKQHOFFBB77CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文山六街181~210號,20.68,住,,,1080620,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021024,128.31,2,2,1,有,有,8800000,68584,坡道平面,23.48,0,,RPOPMLSJQHOFFCB58CA
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道三段571~600號,21.68,住,,,1080705,土地1建物1車位3,十三層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991021,310.43,0,0,0,無,有,23700000,76346,坡道平面,54.58,0,,RPQNMLPKQHOFFCB38CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文心南七路91~120號,38.71,住,,,1080701,土地1建物1車位2,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001206,303.09000000000003,4,2,2,有,有,20500000,67637,坡道平面,85.0,0,,RPPNMLKLQHOFFCB87CA
南屯區,房地(土地+建物)+車位,臺中市南屯區文山六街181~210號,26.6,住,,,1080630,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021024,166.33999999999997,3,2,2,有,有,10900000,65528,坡道平面,23.48,0,,RPSOMLMJRHOFFCB38CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路151~180號,24.88,住,,,1080627,土地1建物1車位2,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970630,300.57,4,2,3,有,有,15000000,49905,坡道平面,33.22,0,親友、員工或其他特殊關係間之交易。;,RPVOMLLLQHOFFCB68CA
