鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路181~210號,18.34,住,,,1080705,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080605,130.44,2,2,1,有,有,9350000,81835,坡道平面,37.57,1750000,,RPXRMLRJQHOFFAH37CA
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路181~210號,24.98,住,,,1080705,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080605,164.53,3,2,2,有,有,12200000,83097,坡道平面,37.57,1650000,,RPPSMLRJQHOFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路181~210號,24.98,住,,,1080705,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080605,164.6,3,2,2,有,有,12000000,82658,坡道平面,37.57,1500000,,RPOPMLSJQHOFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路181~210號,24.98,住,,,1080705,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080605,164.53,3,2,2,有,有,12100000,83491,坡道平面,37.57,1500000,,RPPPMLSJQHOFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路181~210號,24.98,住,,,1080705,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080605,164.53,3,2,2,有,有,12380000,84515,坡道平面,37.57,1650000,,RPSPMLSJQHOFFAH76CA
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路181~210號,18.34,住,,,1080705,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080605,130.21,2,2,1,有,有,9150000,80959,坡道平面,37.57,1650000,,RPTPMLSJQHOFFAH86CA
桃園區,房地(土地+建物),桃園市桃園區寶慶路520巷1~30號,84.15,住,,,1080626,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0931108,234.67,4,3,3,有,有,17500000,74573,,0.0,0,,RPPOMLMKQHOFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路181~210號,18.34,住,,,1080705,土地1建物1車位1,一層，夾層,十四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080605,129.94,0,0,1,有,有,13000000,121251,坡道平面,37.57,1800000,,RPXSMLNKQHOFFAH17CA
桃園區,土地,龍鳳段91~120地號,329.6,其他,,,1080705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16690944,50640,,0.0,0,,RPXPMLOKQHOFFAH96CA
桃園區,房地(土地+建物)+車位,桃園市桃園區經國一路91~120號,13.86,商,,,1080711,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060929,142.54,2,2,1,有,有,9370000,75633,坡道平面,41.79,1750000,,RPTPMLPKQHOFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區經國一路91~120號,13.86,商,,,1080706,土地1建物1車位1,十五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060929,142.54,2,2,1,有,有,9770000,79603,坡道平面,41.79,1750000,,RPUPMLPKQHOFFAH76CA
桃園區,車位,桃園市桃園區藝文二街61~90號,0.48,商,,,1080719,土地0建物0車位1,,,其他,,,,23.56,0,0,0,有,有,1500000,,坡道平面,23.56,1500000,,RPQQMLPKQHOFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區慈德街151~180號,15.44,商,,,1080605,土地3建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930720,141.28,3,2,2,有,有,8360000,59173,坡道平面,0.0,0,,RPTNMLKLQHOFFAH68CA
桃園區,土地,桃園段武陵小段121~150地號,36.45,其他,,,1080718,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3393258,93093,,0.0,0,包含公共設施保留地之交易。;,RPWPMLNLQHOFFAH86CA
桃園區,房地(土地+建物),桃園市桃園區水岸二街91~120號,20.49,住,,,1080623,土地1建物1車位0,一層，夾層,十二層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1070627,116.12,1,1,2,有,有,15500000,133483,,0.0,0,,RPUUMLQLQHOFFAH47CA
中壢區,車位,桃園市中壢區青峰路一段61~90號,2.71,商,,,1080718,土地0建物0車位1,,,其他,,,,26.47,0,0,0,有,有,1650000,,坡道平面,26.47,1650000,,RPPPMLQJQHOFFBH98CA
中壢區,房地(土地+建物),桃園市中壢區福州路202巷1~30號,23.4,住,,,1080423,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,見其他登記事項,0740320,100.67,3,2,2,有,無,2000000,19867,,0.0,0,"親友、員工或其他特殊關係間之交易。;增值稅142,372元，契稅10,812元原由權利人繳納",RPQQMLQJQHOFFBH56CA
中壢區,房地(土地+建物),桃園市中壢區福州路202巷1~30號,23.4,住,,,1080423,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,見其他登記事項,0740320,100.67,3,2,2,有,無,1500000,14900,,0.0,0,親友、員工或其他特殊關係間之交易。;增值稅142372元，契稅10602元由權利人繳納,SPQQMLQJQHOFFBH66CA
中壢區,房地(土地+建物),桃園市中壢區福州路202巷1~30號,23.4,住,,,1080423,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,見其他登記事項,0740320,100.67,3,2,2,有,無,1500000,14900,,0.0,0,親友、員工或其他特殊關係間之交易。;增值稅144685元，契稅10392元由權利人繳納,TPQQMLQJQHOFFBH76CA
中壢區,房地(土地+建物),桃園市中壢區福州路202巷1~30號,23.4,住,,,1080423,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,見其他登記事項,0740320,100.67,3,2,2,有,無,1700000,16887,,0.0,0,親友、員工或其他特殊關係間之交易。;增值稅369319元，契稅11136元由權利人繳納,RPRQMLQJQHOFFBH66CA
中壢區,房地(土地+建物),桃園市中壢區立德西街58巷1~30號,26.93,住,,,1080708,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700827,92.9,3,2,1,有,無,3850000,41442,,0.0,0,,RPSSMLQJQHOFFBH96CA
中壢區,房地(土地+建物),桃園市中壢區成章二街431巷1~30號,28.31,住,,,1080602,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740205,74.64,2,2,1,有,無,3200000,42872,,0.0,0,,RPTWMLRJQHOFFBH57CA
中壢區,房地(土地+建物)+車位,桃園市中壢區青埔二街151~180號,22.7,住,,,1080629,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050910,188.05,3,2,2,有,有,14000000,81865,坡道平面,35.36,1500000,土地及建物分次登記案件。前案土地登記收件字號：;,RPRQMLMKQHOFFBH98CA
中壢區,房地(土地+建物)+車位,桃園市中壢區長樂二街91~120號,24.57,住,,,1070619,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080613,160.57999999999998,3,2,1,有,有,6800000,54193,坡道平面,59.09,1300000,,RPSOMLNKQHOFFBH98CA
中壢區,土地,雙嶺段511~540地號,6.5,其他,,,1080625,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,452502,69616,,0.0,0,,RPTOMLNKQHOFFBH09CA
中壢區,房地(土地+建物)+車位,桃園市中壢區長樂二街91~120號,25.69,住,,,1061126,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080613,165.21,3,2,2,有,有,7400000,56540,坡道平面,59.09,1400000,,RPVOMLNKQHOFFBH66CA
中壢區,土地,雙嶺段511~540地號,12.43,其他,,,1080625,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,971025,78119,,0.0,0,,RPRPMLNKQHOFFBH98CA
中壢區,房地(土地+建物)+車位,桃園市中壢區慈惠三街61~90號,22.77,住,,,1070430,土地8建物1車位1,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080425,85.08000000000001,2,1,1,有,無,7400000,99983,坡道平面,27.07,1600000,,RPOPMLKLQHOFFBH48CA
中壢區,房地(土地+建物)+車位,桃園市中壢區慈惠三街61~90號,21.21,住,,,1070430,土地8建物1車位1,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080425,79.82,2,1,1,有,無,7300000,100155,坡道平面,21.91,1500000,,RPRPMLKLQHOFFBH78CA
