鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
北投區,房地(土地+建物),臺北市北投區中央北路二段211~240號,11.68,住,,,1080725,土地3建物2車位0,全,二層,透天厝,住家用,加強磚造,0560101,14.0,3,2,2,有,無,1814000,129571,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUOMLOJRHOFFEA98DA
北投區,房地(土地+建物),臺北市北投區行義路186巷26弄1~30號,22.7,住,,,1080629,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750116,124.71000000000001,3,2,2,有,無,14150000,113463,,0.0,0,含增建或未登記建物。,RPPOMLPJQHOFFEA48DA
信義區,土地,三興段一小段1111~1140地號,5.92,商,,,1080713,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3653858,617206,,0.0,0,,RPTOMLNKQHOFFDA68DA
信義區,房地(土地+建物),臺北市信義區崇德街60巷1~30號,26.31,住,,,1080531,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820724,152.5,4,2,2,有,有,25100000,164590,,0.0,0,含增建或未登記建物。,RPUQMLNKQHOFFDA98DA
南港區,房地(土地+建物),臺北市南港區忠孝東路七段601~630號,29.17,商,,,1080514,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710630,135.94,3,1,1,有,無,15200000,111814,,0.0,0,含增建或未登記建物。權利人等二人。,RPVQMLNKQHOFFDA09DA
南港區,車位,臺北市南港區忠孝東路六段1~30號,3.18,商,,,1080722,土地0建物0車位1,地下四層,十七層,其他,停車空間,見其他登記事項,0931216,39.83,0,0,0,有,有,2050000,,坡道平面,39.83,2050000,,RPQQMLMJQHOFFDA38DA
南港區,土地,玉成段五小段1~30地號,133.12,住,,,1010425,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,54000000,405649,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTOMLQJQHOFFDA88DA
中山區,房地(土地+建物),臺北市中山區長安東路二段151~180號,6.94,商,,,1080605,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050411,81.85,4,2,1,有,有,24760000,302505,,0.0,0,,RPVSMLQJQHOFFCA76DA
萬華區,房地(土地+建物),臺北市萬華區峨眉街91~120號,3.2,商,,,1080714,土地1建物1車位0,二層,十一層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0950126,32.0,1,2,1,有,有,8100000,253125,,0.0,0,含增建或未登記建物。,RPTOMLPJQHOFFBA58DA
大安區,房地(土地+建物),臺北市大安區仁愛路四段361~390號,8.6,其他,,,1080701,土地1建物1車位0,十二層,十四層,辦公商業大樓,住家用,鋼筋混凝土造,,77.12,0,0,0,無,有,18500000,239886,,0.0,0,親友、員工或其他特殊關係間之交易。;共有人間持分買賣,RPUOMLKMQHOFFFA78CA
