鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
苓雅區,房地(土地+建物)+車位,高雄市苓雅區光華一路91~120號,16.48,商,,,1080627,土地3建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070315,257.97,4,2,3,有,有,18360000,71171,坡道平面,18.0,0,管理組織目前尚未成立但將來會成立,RPSOMLPKQHOFFBE88CA
新興區,房地(土地+建物)+車位,高雄市新興區復興一路61~90號,6.49,商,,,1080606,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041023,94.35,2,1,1,有,有,7480000,78454,坡道機械,14.94,1250000,含裝潢.,RPPNMLTKQHOFFBE88CA
苓雅區,房地(土地+建物),高雄市苓雅區廣東二街137巷1~30號,30.93,住,,,1080705,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0710510,73.89,7,2,2,有,無,2270000,30721,,0.0,0,,RPXNMLKLQHOFFBE88CA
前鎮區,房地(土地+建物),高雄市前鎮區鄭和路61~90號,7.83,住,,,1080715,土地2建物1車位0,二十四層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860527,161.03,4,2,2,有,有,6700000,41607,,0.0,0,,RPSOMLPJQHOFFCE88CA
小港區,房地(土地+建物),高雄市小港區港後路89巷1~30號,28.2,住,,,1080629,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740606,90.61,3,2,2,有,無,2680000,29577,,0.0,0,,RPPPMLLJQHOFFCE28CA
前鎮區,車位,高雄市前鎮區民權二路1~30號,1.39,商,,,1080719,土地0建物0車位2,地下二層,三十七層,其他,商業用,鋼造,0801030,52.589999999999996,0,0,0,有,有,2200000,,坡道平面,0.0,2200000,單獨車位交易。;,RPQNMLMJQHOFFCE28CA
小港區,房地(土地+建物),高雄市小港區康莊路151~180號,19.24,商,,,1080718,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0720105,85.32,3,2,2,有,無,1880000,22035,,0.0,0,,RPRQMLMJQHOFFCE68CA
前鎮區,房地(土地+建物),高雄市前鎮區一德路31~60號,21.98,商,,,1080709,土地1建物1車位0,一層，二層，騎樓,九層,店面(店鋪),住商用,鋼筋混凝土造,0870630,142.47,1,2,2,有,有,3700000,25970,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOPMLQJQHOFFCE68CA
前鎮區,房地(土地+建物)+車位,高雄市前鎮區瑞興街151~180號,35.57,住,,,1080629,土地1建物1車位1,八層，九層,九層,其他,住家用,鋼筋混凝土造,0850722,200.49,5,2,2,有,有,8100000,40401,坡道平面,0.0,0,,RPROMLTJQHOFFCE56CA
小港區,房地(土地+建物),高雄市小港區新豐街61~90號,73.99,住,,,1080701,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0770112,182.01,4,2,3,有,無,8500000,46701,,0.0,0,,RPPOMLMKQHOFFCE38CA
小港區,房地(土地+建物)+車位,高雄市小港區旭日街1~30號,36.3,住,,,1080703,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821110,171.41,4,2,2,有,有,4150000,24210,坡道平面,0.0,0,,RPUOMLNKQHOFFCE98CA
小港區,房地(土地+建物),高雄市小港區孝先街31~60號,80.0,住,,,1080626,土地1建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0721230,215.41,4,2,4,有,無,9500000,44102,,0.0,0,,RPTOMLMLQHOFFCE88CA
三民區,車位,高雄市三民區民族一路511~540號,3.51,住,,,1080711,土地0建物0車位1,,,其他,,,,24.56,0,0,0,有,無,1450000,,坡道平面,24.56,1450000,單獨車位交易。;,RPVNMLQJQHOFFDE66CA
三民區,房地(土地+建物)+車位,高雄市三民區順昌街91~120號,9.03,商,,,1080707,土地2建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990115,103.57,2,1,1,有,有,5150000,49725,坡道平面,25.74,0,,RPVNMLTJQHOFFDE96CA
三民區,房地(土地+建物),高雄市三民區延吉街87巷1~30號,29.39,住,,,1080707,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700220,96.00999999999999,3,2,2,有,無,2900000,30205,,0.0,0,前後陽台,RPPOMLMKQHOFFDE48CA
三民區,土地,水源段1141~1170地號,226.67,其他,,,1080724,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1657835,7314,,0.0,0,包含公共設施保留地之交易。;,RPQNMLNKQHOFFDE58CA
三民區,房地(土地+建物)+車位,高雄市三民區大豐一路288巷1~30號,26.32,住,,,1080615,土地2建物1車位1,二層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0790322,145.45,3,2,2,有,無,4100000,28188,坡道平面,0.0,0,,RPUNMLNKQHOFFDE98CA
三民區,房地(土地+建物),高雄市三民區順昌街61~90號,15.39,商,,,1080721,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,1000617,113.69,2,2,1,有,有,5400000,47498,,0.0,0,陽台外推,RPRNMLPKQHOFFDE88CA
三民區,房地(土地+建物),高雄市三民區林森一路301~330號,61.0,商,,,1080627,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0541015,92.7,4,2,4,有,無,16800000,181230,,0.0,0,含增建或未登記建物。;,RPPNMLKLQHOFFDE28CA
左營區,房地(土地+建物),高雄市左營區大中二路811~840號,11.93,住,,,1080702,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1041012,90.79,2,1,2,有,有,5550000,61130,,0.0,0,,RPSPMLLJQHOFFEE78CA
楠梓區,房地(土地+建物),高雄市楠梓區清成街61~90號,25.25,住,,,1080620,土地1建物1車位0,一層，二層，騎樓,十層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830708,132.85,3,2,2,有,無,5500000,41400,,0.0,0,,RPUNMLMJQHOFFEE88CA
楠梓區,土地,藍田西段91~120地號,1308.01,商,,,1080725,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,123000000,94036,,0.0,0,,RPVPMLMJQHOFFEE56CA
