鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
淡水區,房地(土地+建物)+車位,新北市淡水區南勢埔32巷1~30號,110.85,,山坡地保育區,丙種建築用地,1080605,土地2建物1車位2,全,三層,透天厝,住家用,鋼筋混凝土造,0980106,250.05,3,2,3,有,無,9000000,35993,坡道平面,27.94,0,含增建或未登記建物。;頂樓雨遮部分增建,RPRQMLPKQHOFFEF76CA
三芝區,房地(土地+建物)+車位,新北市三芝區樂全街1~30號,53.77,,山坡地保育區,丙種建築用地,1080717,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850528,145.89,3,1,2,有,有,3200000,21934,坡道平面,30.66,0,,RPORMLPKQHOFFEF56CA
淡水區,房地(土地+建物)+車位,新北市淡水區坪頂路31~60號,16.37,住,,,1080710,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071221,112.93,2,1,1,有,有,8000000,75472,坡道平面,33.43,2000000,,RPSSMLOKQHOFFEF96CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,16.54,住,,,1030322,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,108.88,2,1,1,有,有,7430000,75287,坡道平面,26.13,1200000,,RPXQMLOKQHOFFEF27CA
淡水區,房地(土地+建物),新北市淡水區學府路128巷1~30號,7.09,住,,,1080710,土地1建物1車位0,一層,五層,套房(1房1廳1衛),住商用,鋼筋混凝土造,0800314,36.769999999999996,1,1,1,有,有,1700000,46233,,0.0,0,,RPOPMLOKQHOFFEF88CA
淡水區,房地(土地+建物),新北市淡水區學府路205巷1~30號,29.87,住,,,1080628,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700119,81.54,6,0,6,有,無,3600000,44150,,0.0,0,,RPVRMLMKQHOFFEF96CA
淡水區,房地(土地+建物),新北市淡水區中正東路二段121~150號,9.41,住,,,1080704,土地1建物1車位0,九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900302,51.28,2,1,1,有,有,4800000,93604,,0.0,0,夾層,RPRNMLSJQHOFFEF66CA
三芝區,房地(土地+建物)+車位,新北市三芝區淡金路二段91~120號,11.57,住,,,1080721,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870304,108.62,2,1,1,有,有,2500000,23016,坡道平面,46.47,0,,RPVPMLMJQHOFFEF66CA
淡水區,房地(土地+建物),新北市淡水區新市一路一段91~120號,19.13,住,,,1080701,土地1建物1車位0,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051020,123.74000000000001,3,2,2,有,有,7950000,64248,,0.0,0,,RPORMLMJQHOFFEF78CA
淡水區,房地(土地+建物)+車位,新北市淡水區自強路128巷31~60號,40.7,住,,,1080705,土地1建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820118,267.03999999999996,4,2,3,有,有,24750000,92683,坡道平面,0.0,0,,RPTNMLPJQHOFFEF56CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段99巷1~30號,24.74,住,,,1070810,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061205,169.43,3,1,2,有,有,10600000,62563,坡道平面,34.61,0,,RPWNMLPJQHOFFEF86CA
淡水區,土地,中田寮段演戲埔腳小段1~30地號,1174.0,,特定農業區,甲種建築用地,1080619,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14000000,11925,,0.0,0,,RPPPMLMJQHOFFEF68CA
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路二段211~240號,25.4,住,,,1080719,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060216,176.01999999999998,3,2,2,有,有,10350000,63974,坡道平面,31.43,1100000,,RPTOMLQJQHOFFEF76CA
